,Dry Mass (kg),Max Height (ft),Max Velocity (m/s),Radius (m)
0,25.0,102305.19080374057,959.6853075022393,0.06
1,26.0,98797.54900271643,934.9301127471978,0.06
2,27.0,95411.8714923752,911.1878924441875,0.06
3,28.0,92144.7613496807,888.3954928523846,0.06
4,29.0,88995.74583767905,866.4990350629497,0.06
5,30.0,85962.60171952793,845.4557898466104,0.06
6,31.0,83042.6942710674,825.2148672034239,0.06
7,32.0,80231.967193481,805.7351240904306,0.06
8,33.0,77550.54451812056,787.0177206823234,0.06
9,34.0,75013.1203486652,769.0599133060251,0.06
10,35.0,72608.7704241151,751.8163209551968,0.06
11,36.0,70326.33572310884,735.2416649859027,0.06
12,37.0,68158.5657283624,719.2997265293942,0.06
13,38.0,66096.39608571555,703.9525423543,0.06
14,39.0,64132.70583162845,689.1673115519502,0.06
15,40.0,62260.11335659779,674.9124025166443,0.06
16,25.0,78474.26749090319,899.9104315456888,0.06999999999999999
17,26.0,76433.63734074503,878.5278124198006,0.06999999999999999
18,27.0,74419.33704652092,857.8911369355021,0.06999999999999999
19,28.0,72436.39986840246,837.9643883084715,0.06999999999999999
20,29.0,70489.82040924135,818.7234497056485,0.06999999999999999
21,30.0,68582.87956898921,800.1365942069557,0.06999999999999999
22,31.0,66742.83294019442,782.2538938654234,0.06999999999999999
23,32.0,64977.808631298576,765.066641945927,0.06999999999999999
24,33.0,63285.175739295795,748.5423062463559,0.06999999999999999
25,34.0,61659.119455191336,732.6341079137395,0.06999999999999999
26,35.0,60097.29908635514,717.3118688609775,0.06999999999999999
27,36.0,58595.35055560523,702.5404425667118,0.06999999999999999
28,37.0,57150.36282061703,688.2910068618509,0.06999999999999999
29,38.0,55758.3183267306,674.5314265590596,0.06999999999999999
30,39.0,54418.03332145686,661.2461646721359,0.06999999999999999
31,40.0,53125.52344812067,648.401459390643,0.06999999999999999
32,25.0,61141.79585872331,838.8306311370193,0.08
33,26.0,60001.06596599904,820.4404079692197,0.08
34,27.0,58844.492185123156,802.5847582414224,0.08
35,28.0,57693.10333762888,785.3324973287558,0.08
36,29.0,56564.21593298546,768.7318458928411,0.08
37,30.0,55457.91922549414,752.7398805805688,0.08
38,31.0,54375.68929143863,737.3269326358879,0.08
39,32.0,53316.8758930968,722.4580446324157,0.08
40,33.0,52281.90218898764,708.1056752905002,0.08
41,34.0,51271.49394901973,694.2450023047055,0.08
42,35.0,50285.568468250676,680.8471909448415,0.08
43,36.0,49330.151128837635,667.8908008389812,0.08
44,37.0,48403.47295758901,655.3453744316831,0.08
45,38.0,47506.81254312996,643.2074337146352,0.08
46,39.0,46633.37468525887,631.4562026789116,0.08
47,40.0,45780.11502880489,620.0710807120242,0.08
48,25.0,49295.199697482516,777.1387500207894,0.09
49,26.0,48668.52682280004,761.6467408695423,0.09
50,27.0,48040.74582875808,746.6970971569393,0.09
51,28.0,47413.481451146276,732.2534453743433,0.09
52,29.0,46786.71304316127,718.2898327374247,0.09
53,30.0,46158.60778691735,704.7807390553563,0.09
54,31.0,45530.37929010417,691.7088160461495,0.09
55,32.0,44902.82014840014,679.0484056151922,0.09
56,33.0,44277.884147506236,666.7834197272377,0.09
57,34.0,43655.61657674833,654.880496966517,0.09
58,35.0,43040.02364622016,643.3451153045529,0.09
59,36.0,42431.415206937134,632.1605086076513,0.09
60,37.0,41829.501998462,621.3080822132799,0.09
61,38.0,41234.204966733254,610.7703717327644,0.09
62,39.0,40645.5475287833,600.5317494023878,0.09
63,40.0,40065.52654176827,590.5937935665115,0.09
64,25.0,41436.12969179582,717.0247619754382,0.1
65,26.0,41088.693820704626,704.3650940296105,0.1
66,27.0,40729.38023325131,692.0885308579856,0.1
67,28.0,40359.651051128436,680.1745319781179,0.1
68,29.0,39980.551619431186,668.6003867789831,0.1
69,30.0,39593.61326824701,657.3513532781202,0.1
70,31.0,39200.5453937267,646.4183710011936,0.1
71,32.0,38804.132097018846,635.8072879019476,0.1
72,33.0,38403.94132632866,625.4861678119942,0.1
73,34.0,38001.89837380214,615.4560888851158,0.1
74,35.0,37597.63540019867,605.6910838157535,0.1
75,36.0,37192.20787444507,596.184938185011,0.1
76,37.0,36787.975310076865,586.9477928531835,0.1
77,38.0,36382.83983756999,577.9376155468902,0.1
78,39.0,35979.07945150814,569.1673986806035,0.1
79,40.0,35576.503309447806,560.6194442053742,0.1
80,25.0,35827.02497457779,659.8855872311864,0.11
81,26.0,35621.60924952469,649.650819651877,0.11
82,27.0,35405.10551789489,639.6983904367164,0.11
83,28.0,35178.542098818885,630.0104407396356,0.11
84,29.0,34942.904374282916,620.571318282342,0.11
85,30.0,34699.00830245839,611.3673089312633,0.11
86,31.0,34447.70277859767,602.3861116669107,0.11
87,32.0,34190.29698979793,593.628779756895,0.11
88,33.0,33928.4285681739,585.1033465455935,0.11
89,34.0,33661.12509615637,576.7707252549578,0.11
90,35.0,33389.67092596472,568.634579682683,0.11
91,36.0,33115.18181510393,560.6969461406474,0.11
92,37.0,32837.4644389943,552.9400193519599,0.11
93,38.0,32557.38746466102,545.3636856612283,0.11
94,39.0,32274.80756337714,537.9526057853668,0.11
95,40.0,31990.799497466385,530.7122463892972,0.11
96,25.0,31591.220370449413,606.4265141416711,0.12
97,26.0,31473.527121396633,598.2947336097512,0.12
98,27.0,31345.67734292677,590.3642925347896,0.12
99,28.0,31209.25425733984,582.620510567638,0.12
100,29.0,31063.212566551425,575.0293939376351,0.12
101,30.0,30909.219427614047,567.6024414970722,0.12
102,31.0,30748.43416668927,560.3462697811123,0.12
103,32.0,30580.71156954011,553.2342387024889,0.12
104,33.0,30407.530447349793,546.2826660912144,0.12
105,34.0,30228.261287088564,539.4573535176,0.12
106,35.0,30044.711379703884,532.783666201375,0.12
107,36.0,29856.93440164569,526.24765969711,0.12
108,37.0,29664.945955488984,519.8361978032368,0.12
109,38.0,29469.53577456925,513.5538521138781,0.12
110,39.0,29270.830091980293,507.3923511647147,0.12
111,40.0,29069.808589143555,501.3602361671132,0.12
112,25.0,28272.017563576694,557.2972044307489,0.13
113,26.0,28211.64802092942,550.9165878548561,0.13
114,27.0,28142.00686328261,544.6688355591251,0.13
115,28.0,28063.16391132039,538.5164834114208,0.13
116,29.0,27976.9395902607,532.4975329425826,0.13
117,30.0,27883.373097478507,526.5880301252112,0.13
118,31.0,27783.188640620687,520.7885743455709,0.13
119,32.0,27676.134114396795,515.0805111703173,0.13
120,33.0,27563.857635398832,509.4798718884558,0.13
121,34.0,27446.638917969176,503.9781438321264,0.13
122,35.0,27324.58838401164,498.58136494279887,0.13
123,36.0,27197.622584793982,493.2747321747969,0.13
124,37.0,27067.26209683341,488.06349000168774,0.13
125,38.0,26932.92859920018,482.94671275897576,0.13
126,39.0,26794.8030530594,477.9115078089047,0.13
127,40.0,26653.414288094496,472.9625065355433,0.13
128,25.0,25600.111820610142,512.6719625978284,0.14
129,26.0,25578.14508058174,507.68220337250233,0.14
130,27.0,25548.10092102624,502.7814592284748,0.14
131,28.0,25510.620065952262,497.96985310514293,0.14
132,29.0,25466.045493971582,493.23647351528024,0.14
133,30.0,25414.675730273622,488.5722804843415,0.14
134,31.0,25357.207775410854,483.9855335627055,0.14
135,32.0,25294.155406196467,479.4780255514345,0.14
136,33.0,25225.21153108404,475.02216499396116,0.14
137,34.0,25151.415973644856,470.6430872415681,0.14
138,35.0,25072.98616901381,466.33440736693774,0.14
139,36.0,24990.08031577985,462.0897954687891,0.14
140,37.0,24903.626728952866,457.9289612747064,0.14
141,38.0,24813.32739263052,453.8303892787595,0.14
142,39.0,24719.620086332572,449.798461411075,0.14
143,40.0,24622.4895341372,445.82407470890973,0.14
144,25.0,23405.050259901138,472.465723899227,0.15
145,26.0,23410.06320000897,468.57361617406536,0.15
146,27.0,23407.94365660588,464.75002637677596,0.15
147,28.0,23398.8655430475,460.97694927953336,0.15
148,29.0,23383.877158488165,457.2845471503676,0.15
149,30.0,23362.963411347206,453.6493105021492,0.15
150,31.0,23336.51334452686,450.0717769157966,0.15
151,32.0,23304.630409563903,446.53970188374143,0.15
152,33.0,23267.958651210407,443.0660255364097,0.15
153,34.0,23226.439634678216,439.6339767981616,0.15
154,35.0,23180.907018786562,436.2663845676119,0.15
155,36.0,23131.366930146614,432.9517850528369,0.15
156,37.0,23077.845972962798,429.6792983363668,0.15
157,38.0,23021.038525521555,426.4672834491141,0.15
158,39.0,22961.13813955097,423.3140203253322,0.15
159,40.0,22897.975205936647,420.2038857659454,0.15
